eval_date,eval_year,province,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2023-12-31,2023,Kiên Giang,167768,122152,104458,80483,51594,30672,5373,0.728100710504983,0.6226336369271852,0.4797279576558104,0.3075318296695437,0.1828238996709742,0.03202636974870059
2019-12-31,2019,Kon Tum,68972,55428,51618,48040,29922,19464,2281,0.8036304587368788,0.7483906512787798,0.6965145276344024,0.43382822014730615,0.2822014730615322,0.033071391289218814
2020-12-31,2020,Kon Tum,79073,66330,62217,58553,36302,23784,2867,0.8388451178025369,0.786829891366206,0.7404929621994866,0.45909476053773096,0.30078535024597525,0.03625763534961365
2021-12-31,2021,Kon Tum,78293,63976,59471,55254,34722,22783,2796,0.8171356315379408,0.7595953661246855,0.7057335904870167,0.4434879235691569,0.290996640823573,0.03571200490465303
2022-12-31,2022,Kon Tum,71495,57641,53293,48915,30474,20057,2597,0.8062242114833205,0.745408769844045,0.684173718441849,0.4262395971746276,0.28053710049653824,0.036324218476816564
2023-12-31,2023,Kon Tum,58310,45926,42127,38326,23251,15048,2077,0.787617904304579,0.7224661293088664,0.6572800548790945,0.39874807065683415,0.25806894186245927,0.035619962270622536
2019-12-31,2019,Lai Châu,60030,49191,47008,45063,30265,21263,2904,0.81944027986007,0.7830751291021156,0.7506746626686657,0.5041645843744794,0.3542062302182242,0.04837581209395302
2020-12-31,2020,Lai Châu,67223,58207,55989,54242,36062,25095,3352,0.8658792377608854,0.8328845781949631,0.8068964491319935,0.5364532972345775,0.37330973030064113,0.04986388587239487
2021-12-31,2021,Lai Châu,64611,56425,54128,52302,34112,23438,2940,0.8733033074863413,0.8377520855581867,0.8094906440079862,0.5279596353562087,0.36275556793734814,0.045503087709523146
2022-12-31,2022,Lai Châu,57520,50823,48558,46641,29093,19369,2445,0.8835709318497914,0.8441933240611961,0.81086578581363,0.5057892906815021,0.33673504867872045,0.04250695410292072
2023-12-31,2023,Lai Châu,45729,40022,38041,36326,21308,13674,1704,0.875199545146406,0.8318791139102102,0.794375560366507,0.46596251831441754,0.2990225021321262,0.03726300596995342
2019-12-31,2019,Long An,151274,128780,113387,86160,64094,40840,4547,0.8513029337493555,0.7495471792905588,0.5695625156999881,0.4236947525681875,0.2699736901252033,0.030058040377064135
2020-12-31,2020,Long An,147333,131636,120336,89943,65187,40824,5213,0.8934590349751923,0.8167620288733685,0.6104742318421534,0.4424467023681049,0.27708659974343836,0.03538243299192985
